# time(ps) 	kappa_vv_mean	kappa_vv_upper	kappa_vv_lower
9.800000e-02	3.851842e-15	3.851842e-15	3.851842e-15
9.900000e-02	3.824925e-15	3.824925e-15	3.824925e-15
1.000000e-01	3.798820e-15	3.798820e-15	3.798820e-15
1.010000e-01	3.773488e-15	3.773488e-15	3.773488e-15
1.020000e-01	3.748889e-15	3.748889e-15	3.748889e-15
1.030000e-01	3.724984e-15	3.724984e-15	3.724984e-15
1.040000e-01	3.701734e-15	3.701734e-15	3.701734e-15
1.050000e-01	3.679100e-15	3.679100e-15	3.679100e-15
1.060000e-01	3.657045e-15	3.657045e-15	3.657045e-15
1.070000e-01	3.635532e-15	3.635532e-15	3.635532e-15
1.080000e-01	3.614528e-15	3.614528e-15	3.614528e-15
1.090000e-01	3.593997e-15	3.593997e-15	3.593997e-15
1.100000e-01	3.573909e-15	3.573909e-15	3.573909e-15
1.110000e-01	3.554232e-15	3.554232e-15	3.554232e-15
1.120000e-01	3.534939e-15	3.534939e-15	3.534939e-15
1.130000e-01	3.516003e-15	3.516003e-15	3.516003e-15
1.140000e-01	3.497399e-15	3.497399e-15	3.497399e-15
1.150000e-01	3.479106e-15	3.479106e-15	3.479106e-15
1.160000e-01	3.461102e-15	3.461102e-15	3.461102e-15
1.170000e-01	3.443369e-15	3.443369e-15	3.443369e-15
1.180000e-01	3.425893e-15	3.425893e-15	3.425893e-15
1.190000e-01	3.408658e-15	3.408658e-15	3.408658e-15
1.200000e-01	3.391654e-15	3.391654e-15	3.391654e-15
1.210000e-01	3.374871e-15	3.374871e-15	3.374871e-15
1.220000e-01	3.358303e-15	3.358303e-15	3.358303e-15
1.230000e-01	3.341944e-15	3.341944e-15	3.341944e-15
1.240000e-01	3.325791e-15	3.325791e-15	3.325791e-15
1.250000e-01	3.309845e-15	3.309845e-15	3.309845e-15
1.260000e-01	3.294105e-15	3.294105e-15	3.294105e-15
1.270000e-01	3.278574e-15	3.278574e-15	3.278574e-15
1.280000e-01	3.263259e-15	3.263259e-15	3.263259e-15
1.290000e-01	3.248164e-15	3.248164e-15	3.248164e-15
1.300000e-01	3.233299e-15	3.233299e-15	3.233299e-15
1.310000e-01	3.218672e-15	3.218672e-15	3.218672e-15
1.320000e-01	3.204295e-15	3.204295e-15	3.204295e-15
1.330000e-01	3.190179e-15	3.190179e-15	3.190179e-15
1.340000e-01	3.176338e-15	3.176338e-15	3.176338e-15
1.350000e-01	3.162787e-15	3.162787e-15	3.162787e-15
1.360000e-01	3.149539e-15	3.149539e-15	3.149539e-15
1.370000e-01	3.136612e-15	3.136612e-15	3.136612e-15
1.380000e-01	3.124021e-15	3.124021e-15	3.124021e-15
1.390000e-01	3.111784e-15	3.111784e-15	3.111784e-15
1.400000e-01	3.099917e-15	3.099917e-15	3.099917e-15
1.410000e-01	3.088438e-15	3.088438e-15	3.088438e-15
1.420000e-01	3.077364e-15	3.077364e-15	3.077364e-15
1.430000e-01	3.066713e-15	3.066713e-15	3.066713e-15
1.440000e-01	3.056502e-15	3.056502e-15	3.056502e-15
1.450000e-01	3.046748e-15	3.046748e-15	3.046748e-15
1.460000e-01	3.037467e-15	3.037467e-15	3.037467e-15
1.470000e-01	3.028675e-15	3.028675e-15	3.028675e-15
1.480000e-01	3.020388e-15	3.020388e-15	3.020388e-15
1.490000e-01	3.012620e-15	3.012620e-15	3.012620e-15
1.500000e-01	3.005385e-15	3.005385e-15	3.005385e-15
1.510000e-01	2.998695e-15	2.998695e-15	2.998695e-15
1.520000e-01	2.992563e-15	2.992563e-15	2.992563e-15
1.530000e-01	2.986999e-15	2.986999e-15	2.986999e-15
1.540000e-01	2.982014e-15	2.982014e-15	2.982014e-15
1.550000e-01	2.977614e-15	2.977614e-15	2.977614e-15
1.560000e-01	2.973808e-15	2.973808e-15	2.973808e-15
1.570000e-01	2.970600e-15	2.970600e-15	2.970600e-15
1.580000e-01	2.967996e-15	2.967996e-15	2.967996e-15
1.590000e-01	2.965998e-15	2.965998e-15	2.965998e-15
1.600000e-01	2.964608e-15	2.964608e-15	2.964608e-15
1.610000e-01	2.963824e-15	2.963824e-15	2.963824e-15
1.620000e-01	2.963647e-15	2.963647e-15	2.963647e-15
1.630000e-01	2.964072e-15	2.964072e-15	2.964072e-15
1.640000e-01	2.965094e-15	2.965094e-15	2.965094e-15
1.650000e-01	2.966707e-15	2.966707e-15	2.966707e-15
1.660000e-01	2.968903e-15	2.968903e-15	2.968903e-15
1.670000e-01	2.971672e-15	2.971672e-15	2.971672e-15
1.680000e-01	2.975003e-15	2.975003e-15	2.975003e-15
1.690000e-01	2.978883e-15	2.978883e-15	2.978883e-15
1.700000e-01	2.983297e-15	2.983297e-15	2.983297e-15
1.710000e-01	2.988229e-15	2.988229e-15	2.988229e-15
1.720000e-01	2.993662e-15	2.993662e-15	2.993662e-15
1.730000e-01	2.999576e-15	2.999576e-15	2.999576e-15
