# time(ps) 	kappa_vv_mean	kappa_vv_upper	kappa_vv_lower
9.800000e-02	3.853327e-15	3.853327e-15	3.853327e-15
9.900000e-02	3.826424e-15	3.826424e-15	3.826424e-15
1.000000e-01	3.800334e-15	3.800334e-15	3.800334e-15
1.010000e-01	3.775017e-15	3.775017e-15	3.775017e-15
1.020000e-01	3.750433e-15	3.750433e-15	3.750433e-15
1.030000e-01	3.726543e-15	3.726543e-15	3.726543e-15
1.040000e-01	3.703307e-15	3.703307e-15	3.703307e-15
1.050000e-01	3.680688e-15	3.680688e-15	3.680688e-15
1.060000e-01	3.658647e-15	3.658647e-15	3.658647e-15
1.070000e-01	3.637150e-15	3.637150e-15	3.637150e-15
1.080000e-01	3.616160e-15	3.616160e-15	3.616160e-15
1.090000e-01	3.595644e-15	3.595644e-15	3.595644e-15
1.100000e-01	3.575571e-15	3.575571e-15	3.575571e-15
1.110000e-01	3.555909e-15	3.555909e-15	3.555909e-15
1.120000e-01	3.536631e-15	3.536631e-15	3.536631e-15
1.130000e-01	3.517709e-15	3.517709e-15	3.517709e-15
1.140000e-01	3.499120e-15	3.499120e-15	3.499120e-15
1.150000e-01	3.480841e-15	3.480841e-15	3.480841e-15
1.160000e-01	3.462852e-15	3.462852e-15	3.462852e-15
1.170000e-01	3.445134e-15	3.445134e-15	3.445134e-15
1.180000e-01	3.427672e-15	3.427672e-15	3.427672e-15
1.190000e-01	3.410452e-15	3.410452e-15	3.410452e-15
1.200000e-01	3.393462e-15	3.393462e-15	3.393462e-15
1.210000e-01	3.376694e-15	3.376694e-15	3.376694e-15
1.220000e-01	3.360140e-15	3.360140e-15	3.360140e-15
1.230000e-01	3.343796e-15	3.343796e-15	3.343796e-15
1.240000e-01	3.327658e-15	3.327658e-15	3.327658e-15
1.250000e-01	3.311726e-15	3.311726e-15	3.311726e-15
1.260000e-01	3.296000e-15	3.296000e-15	3.296000e-15
1.270000e-01	3.280484e-15	3.280484e-15	3.280484e-15
1.280000e-01	3.265183e-15	3.265183e-15	3.265183e-15
1.290000e-01	3.250103e-15	3.250103e-15	3.250103e-15
1.300000e-01	3.235252e-15	3.235252e-15	3.235252e-15
1.310000e-01	3.220639e-15	3.220639e-15	3.220639e-15
1.320000e-01	3.206277e-15	3.206277e-15	3.206277e-15
1.330000e-01	3.192175e-15	3.192175e-15	3.192175e-15
1.340000e-01	3.178349e-15	3.178349e-15	3.178349e-15
1.350000e-01	3.164812e-15	3.164812e-15	3.164812e-15
1.360000e-01	3.151579e-15	3.151579e-15	3.151579e-15
1.370000e-01	3.138666e-15	3.138666e-15	3.138666e-15
1.380000e-01	3.126090e-15	3.126090e-15	3.126090e-15
1.390000e-01	3.113866e-15	3.113866e-15	3.113866e-15
1.400000e-01	3.102014e-15	3.102014e-15	3.102014e-15
1.410000e-01	3.090549e-15	3.090549e-15	3.090549e-15
1.420000e-01	3.079490e-15	3.079490e-15	3.079490e-15
1.430000e-01	3.068853e-15	3.068853e-15	3.068853e-15
1.440000e-01	3.058656e-15	3.058656e-15	3.058656e-15
1.450000e-01	3.048916e-15	3.048916e-15	3.048916e-15
1.460000e-01	3.039649e-15	3.039649e-15	3.039649e-15
1.470000e-01	3.030872e-15	3.030872e-15	3.030872e-15
1.480000e-01	3.022599e-15	3.022599e-15	3.022599e-15
1.490000e-01	3.014845e-15	3.014845e-15	3.014845e-15
1.500000e-01	3.007624e-15	3.007624e-15	3.007624e-15
1.510000e-01	3.000948e-15	3.000948e-15	3.000948e-15
1.520000e-01	2.994831e-15	2.994831e-15	2.994831e-15
1.530000e-01	2.989281e-15	2.989281e-15	2.989281e-15
1.540000e-01	2.984309e-15	2.984309e-15	2.984309e-15
1.550000e-01	2.979924e-15	2.979924e-15	2.979924e-15
1.560000e-01	2.976132e-15	2.976132e-15	2.976132e-15
1.570000e-01	2.972939e-15	2.972939e-15	2.972939e-15
1.580000e-01	2.970349e-15	2.970349e-15	2.970349e-15
1.590000e-01	2.968365e-15	2.968365e-15	2.968365e-15
1.600000e-01	2.966988e-15	2.966988e-15	2.966988e-15
1.610000e-01	2.966219e-15	2.966219e-15	2.966219e-15
1.620000e-01	2.966056e-15	2.966056e-15	2.966056e-15
1.630000e-01	2.966495e-15	2.966495e-15	2.966495e-15
1.640000e-01	2.967532e-15	2.967532e-15	2.967532e-15
1.650000e-01	2.969159e-15	2.969159e-15	2.969159e-15
1.660000e-01	2.971369e-15	2.971369e-15	2.971369e-15
1.670000e-01	2.974153e-15	2.974153e-15	2.974153e-15
1.680000e-01	2.977498e-15	2.977498e-15	2.977498e-15
1.690000e-01	2.981391e-15	2.981391e-15	2.981391e-15
1.700000e-01	2.985820e-15	2.985820e-15	2.985820e-15
1.710000e-01	2.990766e-15	2.990766e-15	2.990766e-15
1.720000e-01	2.996213e-15	2.996213e-15	2.996213e-15
1.730000e-01	3.002141e-15	3.002141e-15	3.002141e-15
1.740000e-01	3.008531e-15	3.008531e-15	3.008531e-15
