# time(ps) 	kappa_ev_mean	kappa_ev_upper	kappa_ev_lower
9.000000e-02	-4.158070e-08	-4.158070e-08	-4.158070e-08
9.100000e-02	-4.119238e-08	-4.119238e-08	-4.119238e-08
9.200000e-02	-4.082304e-08	-4.082304e-08	-4.082304e-08
9.300000e-02	-4.047185e-08	-4.047185e-08	-4.047185e-08
9.400000e-02	-4.013796e-08	-4.013796e-08	-4.013796e-08
9.500000e-02	-3.982053e-08	-3.982053e-08	-3.982053e-08
9.600000e-02	-3.951871e-08	-3.951871e-08	-3.951871e-08
9.700000e-02	-3.923168e-08	-3.923168e-08	-3.923168e-08
9.800000e-02	-3.895860e-08	-3.895860e-08	-3.895860e-08
9.900000e-02	-3.869866e-08	-3.869866e-08	-3.869866e-08
1.000000e-01	-3.845107e-08	-3.845107e-08	-3.845107e-08
1.010000e-01	-3.821505e-08	-3.821505e-08	-3.821505e-08
1.020000e-01	-3.798983e-08	-3.798983e-08	-3.798983e-08
1.030000e-01	-3.777467e-08	-3.777467e-08	-3.777467e-08
1.040000e-01	-3.756885e-08	-3.756885e-08	-3.756885e-08
1.050000e-01	-3.737165e-08	-3.737165e-08	-3.737165e-08
1.060000e-01	-3.718240e-08	-3.718240e-08	-3.718240e-08
1.070000e-01	-3.700044e-08	-3.700044e-08	-3.700044e-08
1.080000e-01	-3.682514e-08	-3.682514e-08	-3.682514e-08
1.090000e-01	-3.665587e-08	-3.665587e-08	-3.665587e-08
1.100000e-01	-3.649207e-08	-3.649207e-08	-3.649207e-08
1.110000e-01	-3.633317e-08	-3.633317e-08	-3.633317e-08
1.120000e-01	-3.617863e-08	-3.617863e-08	-3.617863e-08
1.130000e-01	-3.602796e-08	-3.602796e-08	-3.602796e-08
1.140000e-01	-3.588067e-08	-3.588067e-08	-3.588067e-08
1.150000e-01	-3.573633e-08	-3.573633e-08	-3.573633e-08
1.160000e-01	-3.559451e-08	-3.559451e-08	-3.559451e-08
1.170000e-01	-3.545483e-08	-3.545483e-08	-3.545483e-08
1.180000e-01	-3.531693e-08	-3.531693e-08	-3.531693e-08
1.190000e-01	-3.518049e-08	-3.518049e-08	-3.518049e-08
1.200000e-01	-3.504522e-08	-3.504522e-08	-3.504522e-08
1.210000e-01	-3.491084e-08	-3.491084e-08	-3.491084e-08
1.220000e-01	-3.477713e-08	-3.477713e-08	-3.477713e-08
1.230000e-01	-3.464388e-08	-3.464388e-08	-3.464388e-08
1.240000e-01	-3.451091e-08	-3.451091e-08	-3.451091e-08
1.250000e-01	-3.437808e-08	-3.437808e-08	-3.437808e-08
1.260000e-01	-3.424527e-08	-3.424527e-08	-3.424527e-08
1.270000e-01	-3.411238e-08	-3.411238e-08	-3.411238e-08
1.280000e-01	-3.397934e-08	-3.397934e-08	-3.397934e-08
1.290000e-01	-3.384612e-08	-3.384612e-08	-3.384612e-08
1.300000e-01	-3.371268e-08	-3.371268e-08	-3.371268e-08
1.310000e-01	-3.357904e-08	-3.357904e-08	-3.357904e-08
1.320000e-01	-3.344520e-08	-3.344520e-08	-3.344520e-08
1.330000e-01	-3.331121e-08	-3.331121e-08	-3.331121e-08
1.340000e-01	-3.317712e-08	-3.317712e-08	-3.317712e-08
1.350000e-01	-3.304302e-08	-3.304302e-08	-3.304302e-08
1.360000e-01	-3.290899e-08	-3.290899e-08	-3.290899e-08
1.370000e-01	-3.277513e-08	-3.277513e-08	-3.277513e-08
1.380000e-01	-3.264157e-08	-3.264157e-08	-3.264157e-08
1.390000e-01	-3.250843e-08	-3.250843e-08	-3.250843e-08
1.400000e-01	-3.237586e-08	-3.237586e-08	-3.237586e-08
1.410000e-01	-3.224400e-08	-3.224400e-08	-3.224400e-08
1.420000e-01	-3.211303e-08	-3.211303e-08	-3.211303e-08
1.430000e-01	-3.198311e-08	-3.198311e-08	-3.198311e-08
1.440000e-01	-3.185442e-08	-3.185442e-08	-3.185442e-08
1.450000e-01	-3.172715e-08	-3.172715e-08	-3.172715e-08
1.460000e-01	-3.160149e-08	-3.160149e-08	-3.160149e-08
1.470000e-01	-3.147765e-08	-3.147765e-08	-3.147765e-08
1.480000e-01	-3.135581e-08	-3.135581e-08	-3.135581e-08
1.490000e-01	-3.123619e-08	-3.123619e-08	-3.123619e-08
1.500000e-01	-3.111900e-08	-3.111900e-08	-3.111900e-08
1.510000e-01	-3.100446e-08	-3.100446e-08	-3.100446e-08
1.520000e-01	-3.089277e-08	-3.089277e-08	-3.089277e-08
1.530000e-01	-3.078415e-08	-3.078415e-08	-3.078415e-08
1.540000e-01	-3.067882e-08	-3.067882e-08	-3.067882e-08
1.550000e-01	-3.057701e-08	-3.057701e-08	-3.057701e-08
1.560000e-01	-3.047892e-08	-3.047892e-08	-3.047892e-08
1.570000e-01	-3.038480e-08	-3.038480e-08	-3.038480e-08
1.580000e-01	-3.029485e-08	-3.029485e-08	-3.029485e-08
1.590000e-01	-3.020931e-08	-3.020931e-08	-3.020931e-08
1.600000e-01	-3.012841e-08	-3.012841e-08	-3.012841e-08
1.610000e-01	-3.005237e-08	-3.005237e-08	-3.005237e-08
1.620000e-01	-2.998144e-08	-2.998144e-08	-2.998144e-08
1.630000e-01	-2.991585e-08	-2.991585e-08	-2.991585e-08
1.640000e-01	-2.985584e-08	-2.985584e-08	-2.985584e-08
1.650000e-01	-2.980165e-08	-2.980165e-08	-2.980165e-08
1.660000e-01	-2.975351e-08	-2.975351e-08	-2.975351e-08
1.670000e-01	-2.971168e-08	-2.971168e-08	-2.971168e-08
1.680000e-01	-2.967638e-08	-2.967638e-08	-2.967638e-08
1.690000e-01	-2.964786e-08	-2.964786e-08	-2.964786e-08
1.700000e-01	-2.962634e-08	-2.962634e-08	-2.962634e-08
1.710000e-01	-2.961204e-08	-2.961204e-08	-2.961204e-08
1.720000e-01	-2.960519e-08	-2.960519e-08	-2.960519e-08
1.730000e-01	-2.960599e-08	-2.960599e-08	-2.960599e-08
1.740000e-01	-2.961461e-08	-2.961461e-08	-2.961461e-08
1.750000e-01	-2.963125e-08	-2.963125e-08	-2.963125e-08
1.760000e-01	-2.965605e-08	-2.965605e-08	-2.965605e-08
1.770000e-01	-2.968914e-08	-2.968914e-08	-2.968914e-08
1.780000e-01	-2.973064e-08	-2.973064e-08	-2.973064e-08
1.790000e-01	-2.978065e-08	-2.978065e-08	-2.978065e-08
1.800000e-01	-2.983921e-08	-2.983921e-08	-2.983921e-08
1.810000e-01	-2.990636e-08	-2.990636e-08	-2.990636e-08
1.820000e-01	-2.998212e-08	-2.998212e-08	-2.998212e-08
1.830000e-01	-3.006645e-08	-3.006645e-08	-3.006645e-08
1.840000e-01	-3.015932e-08	-3.015932e-08	-3.015932e-08
1.850000e-01	-3.026062e-08	-3.026062e-08	-3.026062e-08
1.860000e-01	-3.037026e-08	-3.037026e-08	-3.037026e-08
1.870000e-01	-3.048808e-08	-3.048808e-08	-3.048808e-08
1.880000e-01	-3.061391e-08	-3.061391e-08	-3.061391e-08
1.890000e-01	-3.074756e-08	-3.074756e-08	-3.074756e-08
1.900000e-01	-3.088877e-08	-3.088877e-08	-3.088877e-08
1.910000e-01	-3.103729e-08	-3.103729e-08	-3.103729e-08
1.920000e-01	-3.119283e-08	-3.119283e-08	-3.119283e-08
1.930000e-01	-3.135505e-08	-3.135505e-08	-3.135505e-08
1.940000e-01	-3.152361e-08	-3.152361e-08	-3.152361e-08
1.950000e-01	-3.169813e-08	-3.169813e-08	-3.169813e-08
1.960000e-01	-3.187821e-08	-3.187821e-08	-3.187821e-08
1.970000e-01	-3.206341e-08	-3.206341e-08	-3.206341e-08
1.980000e-01	-3.225328e-08	-3.225328e-08	-3.225328e-08
1.990000e-01	-3.244734e-08	-3.244734e-08	-3.244734e-08
2.000000e-01	-3.264509e-08	-3.264509e-08	-3.264509e-08
2.010000e-01	-3.284601e-08	-3.284601e-08	-3.284601e-08
2.020000e-01	-3.304957e-08	-3.304957e-08	-3.304957e-08
2.030000e-01	-3.325520e-08	-3.325520e-08	-3.325520e-08
2.040000e-01	-3.346235e-08	-3.346235e-08	-3.346235e-08
2.050000e-01	-3.367044e-08	-3.367044e-08	-3.367044e-08
2.060000e-01	-3.387888e-08	-3.387888e-08	-3.387888e-08
2.070000e-01	-3.408707e-08	-3.408707e-08	-3.408707e-08
2.080000e-01	-3.429442e-08	-3.429442e-08	-3.429442e-08
2.090000e-01	-3.450034e-08	-3.450034e-08	-3.450034e-08
2.100000e-01	-3.470422e-08	-3.470422e-08	-3.470422e-08
2.110000e-01	-3.490549e-08	-3.490549e-08	-3.490549e-08
2.120000e-01	-3.510356e-08	-3.510356e-08	-3.510356e-08
2.130000e-01	-3.529787e-08	-3.529787e-08	-3.529787e-08
2.140000e-01	-3.548786e-08	-3.548786e-08	-3.548786e-08
2.150000e-01	-3.567299e-08	-3.567299e-08	-3.567299e-08
2.160000e-01	-3.585275e-08	-3.585275e-08	-3.585275e-08
2.170000e-01	-3.602666e-08	-3.602666e-08	-3.602666e-08
2.180000e-01	-3.619423e-08	-3.619423e-08	-3.619423e-08
2.190000e-01	-3.635505e-08	-3.635505e-08	-3.635505e-08
2.200000e-01	-3.650871e-08	-3.650871e-08	-3.650871e-08
2.210000e-01	-3.665484e-08	-3.665484e-08	-3.665484e-08
2.220000e-01	-3.679312e-08	-3.679312e-08	-3.679312e-08
2.230000e-01	-3.692326e-08	-3.692326e-08	-3.692326e-08
2.240000e-01	-3.704504e-08	-3.704504e-08	-3.704504e-08
2.250000e-01	-3.715825e-08	-3.715825e-08	-3.715825e-08
2.260000e-01	-3.726276e-08	-3.726276e-08	-3.726276e-08
2.270000e-01	-3.735850e-08	-3.735850e-08	-3.735850e-08
2.280000e-01	-3.744542e-08	-3.744542e-08	-3.744542e-08
2.290000e-01	-3.752356e-08	-3.752356e-08	-3.752356e-08
2.300000e-01	-3.759301e-08	-3.759301e-08	-3.759301e-08
2.310000e-01	-3.765390e-08	-3.765390e-08	-3.765390e-08
2.320000e-01	-3.770644e-08	-3.770644e-08	-3.770644e-08
2.330000e-01	-3.775089e-08	-3.775089e-08	-3.775089e-08
2.340000e-01	-3.778754e-08	-3.778754e-08	-3.778754e-08
2.350000e-01	-3.781677e-08	-3.781677e-08	-3.781677e-08
2.360000e-01	-3.783899e-08	-3.783899e-08	-3.783899e-08
2.370000e-01	-3.785464e-08	-3.785464e-08	-3.785464e-08
2.380000e-01	-3.786420e-08	-3.786420e-08	-3.786420e-08
2.390000e-01	-3.786821e-08	-3.786821e-08	-3.786821e-08
2.400000e-01	-3.786719e-08	-3.786719e-08	-3.786719e-08
2.410000e-01	-3.786171e-08	-3.786171e-08	-3.786171e-08
2.420000e-01	-3.785234e-08	-3.785234e-08	-3.785234e-08
2.430000e-01	-3.783965e-08	-3.783965e-08	-3.783965e-08
2.440000e-01	-3.782419e-08	-3.782419e-08	-3.782419e-08
2.450000e-01	-3.780652e-08	-3.780652e-08	-3.780652e-08
2.460000e-01	-3.778718e-08	-3.778718e-08	-3.778718e-08
2.470000e-01	-3.776665e-08	-3.776665e-08	-3.776665e-08
2.480000e-01	-3.774540e-08	-3.774540e-08	-3.774540e-08
2.490000e-01	-3.772386e-08	-3.772386e-08	-3.772386e-08
2.500000e-01	-3.770240e-08	-3.770240e-08	-3.770240e-08
2.510000e-01	-3.768135e-08	-3.768135e-08	-3.768135e-08
2.520000e-01	-3.766098e-08	-3.766098e-08	-3.766098e-08
2.530000e-01	-3.764150e-08	-3.764150e-08	-3.764150e-08
2.540000e-01	-3.762306e-08	-3.762306e-08	-3.762306e-08
2.550000e-01	-3.760575e-08	-3.760575e-08	-3.760575e-08
2.560000e-01	-3.758962e-08	-3.758962e-08	-3.758962e-08
